"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","33","0","8.25","2","2","v New Zealand","Lauderhill","30 Jun 2012"
"2","4.0","0","20","1","5.00","2","2","v New Zealand","Lauderhill","1 Jul 2012"
"3","4.0","0","20","0","5.00","2","2","v England","Pallekele","27 Sep 2012"
"4","4.0","0","18","1","4.50","2","2","v New Zealand","Pallekele","1 Oct 2012"
"5","4.0","0","27","2","6.75","1","2","v Australia","Colombo (RPS)","5 Oct 2012"
"6","4.0","0","24","1","6.00","1","2","v Sri Lanka","Colombo (RPS)","7 Oct 2012"
"7","4.0","0","27","1","6.75","2","1","v Zimbabwe","North Sound","2 Mar 2013"
"8","4.0","0","17","3","4.25","2","2","v Zimbabwe","North Sound","3 Mar 2013"
"9","3.0","0","27","1","9.00","2","2","v Pakistan","Kingstown","27 Jul 2013"
"10","4.0","0","16","2","4.00","2","1","v Pakistan","Kingstown","28 Jul 2013"
"11","4.0","0","25","0","6.25","1","1","v New Zealand","Auckland","11 Jan 2014"
"12","4.0","0","18","2","4.50","1","2","v Ireland","Kingston","19 Feb 2014"
"13","4.0","1","13","1","3.25","2","2","v Ireland","Kingston","21 Feb 2014"
"14","4.0","0","17","3","4.25","1","2","v England","Bridgetown","9 Mar 2014"
"15","4.0","0","16","1","4.00","1","1","v England","Bridgetown","11 Mar 2014"
"16","4.0","0","28","1","7.00","1","2","v India","Dhaka","23 Mar 2014"
"17","4.0","0","15","4","3.75","1","2","v Bangladesh","Dhaka","25 Mar 2014"
"18","4.0","0","37","2","9.25","2","1","v Australia","Dhaka","28 Mar 2014"
"19","4.0","0","10","3","2.50","2","2","v Pakistan","Dhaka","1 Apr 2014"
"20","4.0","0","23","1","5.75","1","1","v Sri Lanka","Dhaka","3 Apr 2014"
"21","3.0","0","13","0","4.33","1","2","v New Zealand","Roseau","5 Jul 2014"
"22","4.0","1","20","1","5.00","1","2","v New Zealand","Roseau","6 Jul 2014"
