"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","20","56","38","3","0","52.63","2","caught","2","v England","Bloemfontein","2 Feb 2005"
"2","16","39","28","2","0","57.14","2","caught","2","v England","Port Elizabeth","4 Feb 2005"
"3","9","21","14","0","1","64.28","2","lbw","1","v England","Cape Town","6 Feb 2005"
"4","2","11","7","0","0","28.57","2","caught","1","v England","East London","9 Feb 2005"
"5","7","15","7","1","0","100.00","2","caught","2","v Zimbabwe","Port Elizabeth","2 Mar 2005"
"6","17","-","29","3","0","58.62","1","caught","2","v West Indies","Port of Spain","14 May 2005"
"7","30","26","25","3","1","120.00","1","caught","2","v West Indies","Port of Spain","15 May 2005"
"8","24","34","23","3","1","104.34","1","lbw","1","v Asia XI","Centurion","17 Aug 2005"
"9","39","110","67","5","0","58.20","3","run out","2","v Asia XI","Durban","20 Aug 2005"
"10","29","41","29","4","1","100.00","2","caught","2","v New Zealand","Port Elizabeth","30 Oct 2005"
"11","6","19","18","1","0","33.33","1","caught","1","v New Zealand","Durban","4 Nov 2005"
"12","11","46","25","2","0","44.00","2","caught","2","v New Zealand","Centurion","6 Nov 2005"
"13","7","24","16","1","0","43.75","2","lbw","2","v India","Hyderabad (Deccan)","16 Nov 2005"
"14","4","3","5","1","0","80.00","1","caught","1","v India","Bangalore","19 Nov 2005"
"15","43","51","30","7","1","143.33","4","caught","2","v Australia","Centurion","26 Feb 2006"
"16","18","33","23","3","0","78.26","4","bowled","1","v Australia","Cape Town","3 Mar 2006"
"17","68","134","92","6","1","73.91","4","caught","2","v Australia","Port Elizabeth","5 Mar 2006"
"18","38","63","45","4","2","84.44","4","lbw","1","v Australia","Durban","10 Mar 2006"
"19","14","43","20","1","0","70.00","4","caught","2","v Australia","Johannesburg","12 Mar 2006"
"20","54","117","88","3","0","61.36","5","caught","1","v Sri Lanka","Ahmedabad","24 Oct 2006"
"21","10","18","11","2","0","90.90","5","caught","1","v Pakistan","Mohali","27 Oct 2006"
"22","46","57","57","3","0","80.70","5","run out","1","v West Indies","Jaipur","2 Nov 2006"
"23","41","63","47","3","1","87.23","5","stumped","1","v India","Durban","22 Nov 2006"
"24","29","47","30","5","0","96.66","5","caught","1","v India","Cape Town","26 Nov 2006"
"25","13","11","8","0","1","162.50","5","lbw","1","v India","Port Elizabeth","29 Nov 2006"
"26","92*","127","98","12","1","93.87","2","not out","2","v India","Centurion","3 Dec 2006"
"27","67","112","78","8","2","85.89","1","caught","1","v Pakistan","Centurion","4 Feb 2007"
"28","43","62","46","8","0","93.47","2","caught","2","v Pakistan","Durban","7 Feb 2007"
"29","TDNB","-","-","-","-","-","-","-","-","v Pakistan","Port Elizabeth","9 Feb 2007"
"30","50*","65","40","7","1","125.00","1","not out","2","v Pakistan","Cape Town","11 Feb 2007"
"31","71*","125","86","7","2","82.55","2","not out","2","v Pakistan","Johannesburg","14 Feb 2007"
"32","0","2","2","0","0","0.00","1","caught","1","v Netherlands","Basseterre","16 Mar 2007"
"33","62","67","45","9","2","137.77","2","caught","2","v Scotland","Basseterre","20 Mar 2007"
"34","92","194","70","14","2","131.42","2","run out","2","v Australia","Basseterre","24 Mar 2007"
"35","0","2","5","0","0","0.00","2","bowled","2","v Sri Lanka","Providence","28 Mar 2007"
"36","0","1","3","0","0","0.00","1","caught","2","v Ireland","Providence","3 Apr 2007"
"37","15","73","39","1","0","38.46","2","bowled","2","v Bangladesh","Providence","7 Apr 2007"
"38","146","195","130","12","5","112.30","1","caught","1","v West Indies","St George's","10 Apr 2007"
"39","0","10","6","0","0","0.00","2","lbw","1","v New Zealand","St George's","14 Apr 2007"
"40","42","45","35","8","0","120.00","1","caught","2","v England","Bridgetown","17 Apr 2007"
"41","15","39","34","3","0","44.11","2","caught","1","v Australia","Gros Islet","25 Apr 2007"
"42","4","2","2","1","0","200.00","1","bowled","2","v Asia XI","Bangalore","6 Jun 2007"
"43","13","12","10","1","0","130.00","1","caught","2","v Asia XI","Chennai","9 Jun 2007"
"44","70","82","63","7","3","111.11","1","caught","2","v Asia XI","Chennai","10 Jun 2007"
"45","40","47","35","6","0","114.28","2","caught","1","v Ireland","Belfast","24 Jun 2007"
"46","24","56","37","3","0","64.86","1","caught","2","v India","Belfast","26 Jun 2007"
"47","0","14","6","0","0","0.00","2","run out","1","v India","Belfast","29 Jun 2007"
"48","15","51","35","2","0","42.85","1","caught","1","v India","Belfast","1 Jul 2007"
"49","63","95","85","5","0","74.11","4","run out","2","v Zimbabwe","Bulawayo","22 Aug 2007"
"50","0*","5","5","0","0","0.00","4","not out","2","v Zimbabwe","Harare","25 Aug 2007"
"51","107","131","89","8","6","120.22","4","caught","1","v Zimbabwe","Harare","26 Aug 2007"
"52","103*","125","95","9","3","108.42","4","not out","1","v Pakistan","Lahore","18 Oct 2007"
"53","35","78","51","4","0","68.62","4","bowled","2","v Pakistan","Lahore","20 Oct 2007"
"54","17","23","28","2","0","60.71","4","caught","1","v Pakistan","Faisalabad","23 Oct 2007"
"55","1*","1","1","0","0","100.00","5","not out","2","v Pakistan","Multan","26 Oct 2007"
