"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date","ha","result"
"1","29.0","8","50","3","1.72","3","2","v England","Kolkata","29 Jan 1993",1,1
"2","40.0","16","76","3","1.90","3","3","v England","Kolkata","29 Jan 1993",1,1
"3","25.0","9","61","2","2.44","2","2","v England","Chennai","11 Feb 1993",1,1
"4","21.0","7","64","6","3.04","5","3","v England","Chennai","11 Feb 1993",1,1
"5","40.0","4","95","3","2.37","4","1","v England","Mumbai","19 Feb 1993",1,1
"6","26.0","9","70","4","2.69","3","3","v England","Mumbai","19 Feb 1993",1,1
"7","43.0","12","90","3","2.09","4","2","v Zimbabwe","Delhi","13 Mar 1993",1,1
"8","38.5","16","70","5","1.80","4","3","v Zimbabwe","Delhi","13 Mar 1993",1,1
"9","37.0","10","69","4","1.86","4","2","v Sri Lanka","Lucknow","18 Jan 1994",1,1
"10","27.3","9","59","7","2.14","4","3","v Sri Lanka","Lucknow","18 Jan 1994",1,1
"11","13.0","2","50","3","3.84","3","2","v Sri Lanka","Bangalore","26 Jan 1994",1,1
"12","16.0","3","64","3","4.00","3","3","v Sri Lanka","Bangalore","26 Jan 1994",1,1
"13","15.0","3","30","1","2.00","3","1","v Sri Lanka","Ahmedabad","8 Feb 1994",1,1
"14","28.0","9","45","0","1.60","4","3","v Sri Lanka","Ahmedabad","8 Feb 1994",1,1
"15","23.5","7","48","3","2.01","3","2","v West Indies","Mumbai","18 Nov 1994",1,1
"16","12.0","1","39","0","3.25","4","4","v West Indies","Mumbai","18 Nov 1994",1,1
"17","18.0","5","39","4","2.16","4","1","v New Zealand","Bangalore","18 Oct 1995",1,1
"18","27.2","4","81","5","2.96","3","3","v New Zealand","Bangalore","18 Oct 1995",1,1
"19","24.0","7","63","4","2.62","4","1","v Australia","Delhi","10 Oct 1996",1,1
"20","41.0","12","67","5","1.63","3","3","v Australia","Delhi","10 Oct 1996",1,1
"21","31.0","6","76","2","2.45","3","2","v South Africa","Ahmedabad","20 Nov 1996",1,1
"22","12.0","2","34","3","2.83","3","4","v South Africa","Ahmedabad","20 Nov 1996",1,1
"23","27.0","2","71","4","2.62","3","2","v South Africa","Kanpur","8 Dec 1996",1,1
"24","24.0","11","27","1","1.12","3","4","v South Africa","Kanpur","8 Dec 1996",1,1
"25","45.0","10","103","4","2.28","3","2","v Australia","Chennai","6 Mar 1998",1,1
"26","22.5","7","46","4","2.01","4","4","v Australia","Chennai","6 Mar 1998",1,1
"27","28.0","11","44","3","1.57","3","1","v Australia","Kolkata","18 Mar 1998",1,1
"28","31.0","10","62","5","2.00","3","3","v Australia","Kolkata","18 Mar 1998",1,1
"29","24.3","4","75","4","3.06","4","2","v Pakistan","Delhi","4 Feb 1999",1,1
"30","26.3","9","74","10","2.79","3","4","v Pakistan","Delhi","4 Feb 1999",1,1
"31","32.5","12","67","4","2.04","3","1","v New Zealand","Kanpur","22 Oct 1999",1,1
"32","26.5","5","67","6","2.49","3","3","v New Zealand","Kanpur","22 Oct 1999",1,1
"33","19.0","6","52","2","2.73","4","1","v England","Mohali","3 Dec 2001",1,1
"34","28.4","6","81","6","2.82","3","3","v England","Mohali","3 Dec 2001",1,1
"35","33.5","12","82","4","2.42","4","1","v Zimbabwe","Nagpur","21 Feb 2002",1,1
"36","37.0","15","63","5","1.70","2","3","v Zimbabwe","Nagpur","21 Feb 2002",1,1
"37","34.0","13","88","3","2.58","4","1","v Zimbabwe","Delhi","28 Feb 2002",1,1
"38","29.3","8","58","4","1.96","4","3","v Zimbabwe","Delhi","28 Feb 2002",1,1
"39","24.5","5","51","4","2.05","4","2","v West Indies","Mumbai","9 Oct 2002",1,1
"40","25.0","8","50","3","2.00","5","3","v West Indies","Mumbai","9 Oct 2002",1,1
"41","23.3","10","30","5","1.27","5","1","v West Indies","Chennai","17 Oct 2002",1,1
"42","26.0","3","87","1","3.34","4","3","v West Indies","Chennai","17 Oct 2002",1,1
"43","19.0","0","90","5","4.73","3","2","v Australia","Mumbai","3 Nov 2004",1,1
"44","6.0","3","5","1","0.83","4","4","v Australia","Mumbai","3 Nov 2004",1,1
"45","30.0","6","76","1","2.53","3","1","v South Africa","Kolkata","28 Nov 2004",1,1
"46","34.4","7","82","3","2.36","3","3","v South Africa","Kolkata","28 Nov 2004",1,1
"47","37.1","11","98","3","2.63","3","2","v Pakistan","Kolkata","16 Mar 2005",1,1
"48","38.0","16","63","7","1.65","3","4","v Pakistan","Kolkata","16 Mar 2005",1,1
"49","28.0","6","72","6","2.57","3","2","v Sri Lanka","Delhi","10 Dec 2005",1,1
"50","36.0","7","85","4","2.36","3","4","v Sri Lanka","Delhi","10 Dec 2005",1,1
"51","25.0","3","87","2","3.48","3","2","v Sri Lanka","Ahmedabad","18 Dec 2005",1,1
"52","34.3","9","89","5","2.57","4","4","v Sri Lanka","Ahmedabad","18 Dec 2005",1,1
"53","29.4","8","76","5","2.56","5","1","v England","Mohali","9 Mar 2006",1,1
"54","29.0","7","70","4","2.41","4","3","v England","Mohali","9 Mar 2006",1,1
"55","21.2","6","38","4","1.78","3","1","v Pakistan","Delhi","22 Nov 2007",1,1
"56","27.1","8","68","3","2.50","3","3","v Pakistan","Delhi","22 Nov 2007",1,1
"57","29.0","3","90","4","3.10","5","1","v West Indies","Mohali","10 Dec 1994",1,2
"58","7.0","0","56","0","8.00","3","3","v West Indies","Mohali","10 Dec 1994",1,2
"59","20.1","1","78","2","3.86","5","1","v South Africa","Kolkata","27 Nov 1996",1,2
"60","32.0","4","101","1","3.15","3","3","v South Africa","Kolkata","27 Nov 1996",1,2
"61","41.3","8","98","6","2.36","3","2","v Australia","Bangalore","25 Mar 1998",1,2
"62","22.4","5","63","1","2.77","2","4","v Australia","Bangalore","25 Mar 1998",1,2
"63","24.5","7","70","6","2.81","3","1","v Pakistan","Chennai","28 Jan 1999",1,2
"64","22.0","4","93","1","4.22","3","3","v Pakistan","Chennai","28 Jan 1999",1,2
"65","19.2","8","48","1","2.48","4","1","v Pakistan","Kolkata","16 Feb 1999",1,2
"66","27.0","4","91","0","3.37","3","3","v Pakistan","Kolkata","16 Feb 1999",1,2
"67","22.0","1","62","2","2.81","3","2","v South Africa","Mumbai","24 Feb 2000",1,2
"68","28.0","12","56","4","2.00","3","4","v South Africa","Mumbai","24 Feb 2000",1,2
"69","68.4","15","143","6","2.08","2","2","v South Africa","Bangalore","2 Mar 2000",1,2
"70","39.0","4","157","3","4.02","4","1","v Australia","Bangalore","6 Oct 2004",1,2
"71","23.0","4","64","2","2.78","4","3","v Australia","Bangalore","6 Oct 2004",1,2
"72","25.0","6","99","2","3.96","3","1","v Australia","Nagpur","26 Oct 2004",1,2
"73","21.0","1","89","1","4.23","3","3","v Australia","Nagpur","26 Oct 2004",1,2
"74","46.0","8","159","0","3.45","3","1","v Pakistan","Bangalore","24 Mar 2005",1,2
"75","21.0","1","88","1","4.19","3","3","v Pakistan","Bangalore","24 Mar 2005",1,2
"76","39.0","7","84","1","2.15","4","1","v England","Mumbai","18 Mar 2006",1,2
"77","30.4","13","49","4","1.59","4","3","v England","Mumbai","18 Mar 2006",1,2
"78","33.0","2","78","1","2.36","5","2","v South Africa","Ahmedabad","3 Apr 2008",1,2
"79","51.0","15","131","3","2.56","5","2","v West Indies","Nagpur","1 Dec 1994",1,4
"80","23.0","7","45","3","1.95","2","4","v West Indies","Nagpur","1 Dec 1994",1,4
"81","TDNB","-","-","-","-","-","-","v New Zealand","Chennai","25 Oct 1995",1,4
"82","27.0","12","32","1","1.18","4","2","v New Zealand","Cuttack","8 Nov 1995",1,4
"83","34.0","9","81","2","2.38","4","1","v Sri Lanka","Mohali","19 Nov 1997",1,4
"84","19.0","5","66","0","3.47","4","3","v Sri Lanka","Mohali","19 Nov 1997",1,4
"85","TDNB","-","-","-","-","-","-","v Sri Lanka","Nagpur","26 Nov 1997",1,4
"86","41.0","19","76","1","1.85","4","2","v Sri Lanka","Mumbai","3 Dec 1997",1,4
"87","28.0","13","56","3","2.00","5","4","v Sri Lanka","Mumbai","3 Dec 1997",1,4
"88","18.0","3","49","1","2.72","4","2","v New Zealand","Mohali","10 Oct 1999",1,4
"89","41.0","19","42","3","1.02","3","4","v New Zealand","Mohali","10 Oct 1999",1,4
"90","48.0","21","82","5","1.70","3","2","v New Zealand","Ahmedabad","29 Oct 1999",1,4
"91","31.0","16","57","1","1.83","3","4","v New Zealand","Ahmedabad","29 Oct 1999",1,4
"92","51.0","13","115","7","2.25","4","1","v England","Ahmedabad","11 Dec 2001",1,4
"93","38.0","5","118","3","3.10","3","3","v England","Ahmedabad","11 Dec 2001",1,4
"94","29.3","6","74","1","2.50","3","1","v England","Bangalore","19 Dec 2001",1,4
"95","DNB","-","-","-","-","-","3","v England","Bangalore","19 Dec 2001",1,4
"96","54.0","9","169","3","3.12","4","2","v West Indies","Kolkata","30 Oct 2002",1,4
"97","35.1","11","58","2","1.64","3","2","v New Zealand","Ahmedabad","8 Oct 2003",1,4
"98","39.0","12","95","4","2.43","4","4","v New Zealand","Ahmedabad","8 Oct 2003",1,4
"99","66.0","18","181","3","2.74","4","1","v New Zealand","Mohali","16 Oct 2003",1,4
"100","17.3","4","48","7","2.74","4","1","v Australia","Chennai","14 Oct 2004",1,4
"101","47.0","8","133","6","2.82","4","3","v Australia","Chennai","14 Oct 2004",1,4
"102","54.0","13","131","6","2.42","3","1","v South Africa","Kanpur","20 Nov 2004",1,4
"103","21.0","8","52","0","2.47","2","3","v South Africa","Kanpur","20 Nov 2004",1,4
"104","22.0","6","76","2","3.45","4","1","v Pakistan","Mohali","8 Mar 2005",1,4
"105","54.0","16","160","4","2.96","3","3","v Pakistan","Mohali","8 Mar 2005",1,4
"106","15.0","3","41","3","2.73","5","2","v Sri Lanka","Chennai","2 Dec 2005",1,4
"107","40.0","13","88","1","2.20","4","1","v England","Nagpur","1 Mar 2006",1,4
"108","32.0","8","101","1","3.15","3","3","v England","Nagpur","1 Mar 2006",1,4
"109","47.0","14","122","3","2.59","4","2","v Pakistan","Kolkata","30 Nov 2007",1,4
"110","25.0","4","73","2","2.92","2","4","v Pakistan","Kolkata","30 Nov 2007",1,4
"111","44.0","12","116","1","2.63","3","2","v Pakistan","Bangalore","8 Dec 2007",1,4
"112","14.0","2","60","5","4.28","3","4","v Pakistan","Bangalore","8 Dec 2007",1,4
"113","45.0","11","106","2","2.35","3","1","v South Africa","Chennai","26 Mar 2008",1,4
"114","20.0","2","57","1","2.85","5","3","v South Africa","Chennai","26 Mar 2008",1,4
"115","43.0","6","129","0","3.00","4","1","v Australia","Bangalore","9 Oct 2008",1,4
"116","8.0","0","31","0","3.87","5","3","v Australia","Bangalore","9 Oct 2008",1,4
"117","43.3","9","112","3","2.57","3","2","v Australia","Delhi","29 Oct 2008",1,4
"118","4.0","0","14","0","3.50","1","4","v Australia","Delhi","29 Oct 2008",1,4
"119","24.0","3","87","5","3.62","4","2","v Sri Lanka","Colombo (SSC)","27 Jul 1993",2,1
"120","38.1","14","85","3","2.22","5","4","v Sri Lanka","Colombo (SSC)","27 Jul 1993",2,1
"121","33.0","7","93","3","2.81","4","2","v England","Leeds","22 Aug 2002",2,1
"122","29.5","12","66","4","2.21","4","3","v England","Leeds","22 Aug 2002",2,1
"123","43.0","3","154","5","3.58","4","1","v Australia","Adelaide","12 Dec 2003",2,1
"124","17.0","2","58","1","3.41","4","3","v Australia","Adelaide","12 Dec 2003",2,1
"125","39.3","12","100","2","2.53","3","2","v Pakistan","Multan","28 Mar 2004",2,1
"126","30.0","10","72","6","2.40","3","3","v Pakistan","Multan","28 Mar 2004",2,1
"127","8.5","2","24","1","2.71","5","1","v Pakistan","Rawalpindi","13 Apr 2004",2,1
"128","8.0","2","47","4","5.87","3","3","v Pakistan","Rawalpindi","13 Apr 2004",2,1
"129","13.5","2","45","2","3.25","4","1","v Bangladesh","Dhaka","10 Dec 2004",2,1
"130","13.0","4","42","2","3.23","3","3","v Bangladesh","Dhaka","10 Dec 2004",2,1
"131","26.0","9","55","4","2.11","3","2","v Bangladesh","Chittagong","17 Dec 2004",2,1
"132","4.0","2","2","2","0.50","3","3","v Bangladesh","Chittagong","17 Dec 2004",2,1
"133","26.0","7","71","2","2.73","4","1","v Zimbabwe","Bulawayo","13 Sep 2005",2,1
"134","12.0","2","43","1","3.58","4","3","v Zimbabwe","Bulawayo","13 Sep 2005",2,1
"135","7.0","1","19","0","2.71","4","1","v Zimbabwe","Harare","20 Sep 2005",2,1
"136","11.0","3","52","1","4.72","4","3","v Zimbabwe","Harare","20 Sep 2005",2,1
"137","8.0","3","32","1","4.00","3","2","v West Indies","Kingston","30 Jun 2006",2,1
"138","22.4","3","78","6","3.44","4","4","v West Indies","Kingston","30 Jun 2006",2,1
